address,account_type,loya_balance,loya_balance_trb,last_updated
tellor10hjky3kdxxu5eqjh290ltc2tlvgj5rgsll4rl8,BaseAccount,6390000,6.39,2025-06-24T14:33:08.767899+00:00
tellor10usyr7v4xe2uhtnvg4kwtgtuzh5e4u2378zjj9,BaseAccount,200433880,200.43388,2025-06-24T14:33:08.767899+00:00
tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,BaseAccount,2340000,2.34,2025-06-24T14:33:08.767899+00:00
tellor1srsvq5facrpzdsmc32nn2rdzfg0mrlk3xk5tuz,BaseAccount,4699690,4.69969,2025-06-24T14:33:08.767899+00:00
tellor13nwzm5dfd26ue74jr6sc39gyn3qze0rj8jferl,BaseAccount,4,4e-06,2025-06-24T14:33:08.767899+00:00
tellor1352g2lt8h2r86k88vmnkhse9s056gn8cv0vuhd,BaseAccount,34635684,34.635684,2025-06-24T14:33:08.767899+00:00
tellor1364k288xd4r0gxlnk2rve5fm3qxamdtted7v4t,ModuleAccount(time_based_rewards),0,0.0,2025-06-24T14:33:08.767899+00:00
tellor13lqwnpnclcg6x0hrn5t72xxa8hy9ws7hljs537,BaseAccount,1776618,1.776618,2025-06-24T14:33:08.767899+00:00
tellor13l5f93zutylh847cnmd2rpg6hha86dju649964,BaseAccount,14720250,14.72025,2025-06-24T14:33:08.767899+00:00
tellor1jgp27m8fykex4e4jtt0l7ze8q528ux2l38pvhu,ModuleAccount(oracle),25323201,25.323201,2025-06-24T14:33:08.767899+00:00
tellor1jv65s3grqf6v6jl3dp4t6c9t9rk99cd88fa8n2,ModuleAccount(distribution),2632347000,2632.347,2025-06-24T14:33:08.767899+00:00
tellor1j4efgzq92x2txwjz3nj7mcuctjhhl35h9m8mfx,BaseAccount,299970,0.29997,2025-06-24T14:33:08.767899+00:00
tellor1n8a2au0p0w49rctey3mxh3kajsdqtdyp4vrtfz,BaseAccount,6157037,6.157037,2025-06-24T14:33:08.767899+00:00
tellor1ncq34psgcmncf3xpugdyqfv8esj8rj7sjflkuy,BaseAccount,11340957,11.340957,2025-06-24T14:33:08.767899+00:00
tellor15fem3fyv9rv4tdl6kgrdj2fqqwv4p3sycgglxh,BaseAccount,9143963,9.143963,2025-06-24T14:33:08.767899+00:00
tellor15edk9n3g7h052uen6rm99ckpc75p3vlfzsf5jr,BaseAccount,99000000,99.0,2025-06-24T14:33:08.767899+00:00
tellor15ap5jyn02a6s45qsgk5dqc5zu09ma50nrepq2v,BaseAccount,100234811,100.234811,2025-06-24T14:33:08.767899+00:00
tellor15a4l8qg5ccsrsmnsylskkqk8qrmeudr4hav5fp,BaseAccount,499970,0.49997,2025-06-24T14:33:08.767899+00:00
tellor14874aky5afw60wlukkgvc5fqcm68825t6j2qj8,BaseAccount,26511420,26.51142,2025-06-24T14:33:08.767899+00:00
tellor14cey4y879j4c8xl964j7ulwxu5dulttfx7vfs4,BaseAccount,500000,0.5,2025-06-24T14:33:08.767899+00:00
tellor14uunlpuap72k584770kpvlq72u7z488kemgwsx,BaseAccount,84017088,84.017088,2025-06-24T14:33:08.767899+00:00
tellor1kxchhyvpc6mz7y8sc8vr8peqqle820awm59qgd,BaseAccount,6788902,6.788902,2025-06-24T14:33:08.767899+00:00
tellor1k8v5l8spru8hc58nr84nmumdm83j3cuz4ecpl6,BaseAccount,46647997,46.647997,2025-06-24T14:33:08.767899+00:00
tellor1h2ekr5q6aydeedcdzrf6gdwetsygqyepgp4yzx,BaseAccount,143295,0.143295,2025-06-24T14:33:08.767899+00:00
tellor1hn5ue2fw2lhsvtw85ltfd8ffuvpr2utk5tkxp2,BaseAccount,950000,0.95,2025-06-24T14:33:08.767899+00:00
tellor1heavygrqg2a3h4edlg0aznh6hyf6e9t9xfgufl,BaseAccount,102668646,102.668646,2025-06-24T14:33:08.767899+00:00
tellor1hu8vk2zzyety0j4c88vpyfew8rc7frqnjf63nm,BaseAccount,1999985,1.999985,2025-06-24T14:33:08.767899+00:00
tellor1cmt5j83q77mvu7m7g3mz6cvkgm4tq2zcv9tmpx,BaseAccount,9997982,9.997982,2025-06-24T14:33:08.767899+00:00
tellor1et4y07sgf2z39wlptxmfu5nvhrjwhjgdsyp5qj,ModuleAccount(dispute),9217161,9.217161,2025-06-24T14:33:08.767899+00:00
tellor1edr39pfjd2j0l7335dx2zkgk5zmtl5cwnuh6xw,BaseAccount,1999985,1.999985,2025-06-24T14:33:08.767899+00:00
tellor16s8w4jxfnmefyvkmxrmd8w47uk6ycz2338a92h,BaseAccount,1000000,1.0,2025-06-24T14:33:08.767899+00:00
tellor1my9clensgv58mqhrknczqlje43sqzhyyazvsq3,BaseAccount,7141475,7.141475,2025-06-24T14:33:08.767899+00:00
tellor1mtfcujfwtk5kdcf7svnwj6ucfnv9s0v0phhsht,BaseAccount,40257544,40.257544,2025-06-24T14:33:08.767899+00:00
tellor1m3h30wlvsf8llruxtpukdvsy0km2kum8g87ra4,ModuleAccount(mint),0,0.0,2025-06-24T14:33:08.767899+00:00
tellor1mjm4y9fe3avqkh8g0z4zwtjrmcvxw2ee0x7pjs,BaseAccount,20824397,20.824397,2025-06-24T14:33:08.767899+00:00
tellor1mkl462wk4q64825ce5escjcg0l3p5j2n3hu8h9,BaseAccount,4000000,4.0,2025-06-24T14:33:08.767899+00:00
tellor1m6tuy2ek06yptcyhtd3t7h54uvv3wxgvmjckt9,BaseAccount,827786497,827.786497,2025-06-24T14:33:08.767899+00:00
tellor1uasku64eztzzwne8gx58kzxkfn5lu803ekfqpn,BaseAccount,154920240,154.92024,2025-06-24T14:33:08.767899+00:00
tellor1a60lcwf7l0h6grhxjkskd4m304tl69sffxlda3,BaseAccount,28022798,28.022798,2025-06-24T14:33:08.767899+00:00
tellor17xpfvakm2amg962yls6f84z3kell8c5ls06m3g,ModuleAccount(fee_collector),80,8e-05,2025-06-24T14:33:08.767899+00:00
tellor17gc67q05d5rgsz9caznm0s7s5eazwg2e3fkk8e,BaseAccount,239394182,239.394182,2025-06-24T14:33:08.767899+00:00
tellor1lzv8ufuz2zu8f37wz8vy2sluljn3saap07vpek,BaseAccount,6993823,6.993823,2025-06-24T14:33:08.767899+00:00
tellor1ljjks7t8jh0tlvhqzu83hxdej5uuuwzkjdnz8r,BaseAccount,13994975,13.994975,2025-06-24T14:33:08.767899+00:00
