withdraw_id,creator,recipient,success,Claimed,txhash,Amount
12,tellor1heavygrqg2a3h4edlg0aznh6hyf6e9t9xfgufl,fE2952AD10262C6b466070CA34dBB7fA54b882e3,True,True,F6F09B6C6D4FB14F2108A60FD3FB0B356E76EBA462B5661C785A797896103822,1000078
13,tellor1heavygrqg2a3h4edlg0aznh6hyf6e9t9xfgufl,fE2952AD10262C6b466070CA34dBB7fA54b882e3,True,True,9362DDEE0CBE606C9A78DF8F2424387BEB9115B72AA84530FE8D02951FDAC7E0,1000078
14,tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,b2d6aaf0bca136c252ec94f0f06c2489f734675f,True,True,A5AE4C0E17225CEB0B31D23C9DB7540F23851B08DE4514BA2E3F74B746694639,1000000
15,tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,b2d6aaf0bca136c252ec94f0f06c2489f734675f,True,True,4AB89170701FF84FCD378B4F23A9AD2609D5A820868A33123D85C436D776C60A,1000000
16,tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,b2d6aaf0bca136c252ec94f0f06c2489f734675f,True,True,344FF209B1F46C6D563563DA9FE3B2DD42FACB931142B87C8229CC498285FDDF,1000000
17,tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,b2d6aaf0bca136c252ec94f0f06c2489f734675f,True,True,E010D0CD18FB5D040F20EF44A67469406F7DCF3854023C786C7CB16FE39D9407,1000000
18,tellor1vw2yy9nf3wz7hey89tpw5hn0yr3hkrzt889x47,D4Adcb465B1f5A6CaDe1235f0fEad980D57FCB7d,True,True,9BBD2091A9FE893FA6CB3240E8EDD9E36B10D460124B327D16AA5B2EFDFF1BF8,1230000
19,tellor1heavygrqg2a3h4edlg0aznh6hyf6e9t9xfgufl,fE2952AD10262C6b466070CA34dBB7fA54b882e3,True,True,AE09CFE6257AD6E72467EDEFFF5127866C290B35483A9EED41871B24CCE05056,100000
20,tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,b2d6aaf0bca136c252ec94f0f06c2489f734675f,True,True,232B1196F607A65C7E16AB1EE8D9A556150BF7D471348AB7DA2E2C2E981B44D7,1000000
21,tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,b2d6aaf0bca136c252ec94f0f06c2489f734675f,True,True,EBAE073049C10573B4A8D91CE925A52DDA5940B9CAF6FBB820530D94EE177805,1000000
22,tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,b2d6aaf0bca136c252ec94f0f06c2489f734675f,True,True,3039289A2603D0EF085A2280F571D882769FAE2EFD93CDD1063379201A8BB206,1000000
23,tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,b2d6aaf0bca136c252ec94f0f06c2489f734675f,True,True,999830B8A8050D0AE65693041C0E6D91C58C30B2C8C9B9F571FCF1F32D83F83C,100000
24,tellor1heavygrqg2a3h4edlg0aznh6hyf6e9t9xfgufl,fE2952AD10262C6b466070CA34dBB7fA54b882e3,True,True,8EB2F4E059E49AD9658966FB118670E27115489F6424AE2F3A414E934E63E5DC,100000
25,tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,b2d6aaf0bca136c252ec94f0f06c2489f734675f,True,True,AD706DF4504178FF6623AE9316ED6D7C6CF337728FB956DEDC1CD148222B6EB8,200000
26,tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,b2d6aaf0bca136c252ec94f0f06c2489f734675f,True,True,5C489DEA3BA962F9431A70F4659AFF612B3BEEAC9B0A885C1A09813BE4941D6E,100000
27,tellor10hjky3kdxxu5eqjh290ltc2tlvgj5rgsll4rl8,fe2952ad10262c6b466070ca34dbb7fa54b882e3,True,True,81C2BC0870927340E70206A55FDCEAFA09330C80A143FE647284D3476760785F,100000
28,tellor1p88ju0yhutmf5p2u798xv3umaa7ujw7gch9r4f,AE7CFe4CF579Ec060f95d951bD5260A5A8c0dcDC,True,True,CBD429425AC03F03D639D148B777121F2ED819870B1C44F61BC9B63CABD6A48A,100000
29,tellor1heavygrqg2a3h4edlg0aznh6hyf6e9t9xfgufl,fE2952AD10262C6b466070CA34dBB7fA54b882e3,True,True,5959FEBD3301DBFBDDC5B49D1D650841C60489F958B323A9AB467F27291B6DB7,100000
30,tellor1heavygrqg2a3h4edlg0aznh6hyf6e9t9xfgufl,fE2952AD10262C6b466070CA34dBB7fA54b882e3,True,True,466E7B21207EC8B84609FFC01F4837E5EB44680E34D46B0883159589C8AC7126,100000
31,tellor1heavygrqg2a3h4edlg0aznh6hyf6e9t9xfgufl,fE2952AD10262C6b466070CA34dBB7fA54b882e3,True,True,90B453BD72298CE3D1F27E29BAD0E5F49415A21563F7F6B1A0D92B3425C4187B,100000
32,tellor1heavygrqg2a3h4edlg0aznh6hyf6e9t9xfgufl,fE2952AD10262C6b466070CA34dBB7fA54b882e3,True,True,A8A3E843D8D95481ADCC49E06428D923AAACC21D0468AF43A669044103ADF67A,100000
33,tellor10hjky3kdxxu5eqjh290ltc2tlvgj5rgsll4rl8,fe2952ad10262c6b466070ca34dbb7fa54b882e3,True,True,F6BE546915AFAB49F5CD4B9E3D3944EBFC47B9D569168C990D9CA51BD2A97EAC,1000000
34,tellor10usyr7v4xe2uhtnvg4kwtgtuzh5e4u2378zjj9,BB02c563D7e6b2F0d6AF1946DBfe1C1b0Dc20943,True,True,83FB7FA0214E0087D95D728DE1F33D9F1FB37A14CC57196A2035391BDEAFC94D,50000
35,tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,b2d6aaf0bca136c252ec94f0f06c2489f734675f,True,True,A0F0AC3905C93E7A99D94EE21B54BD14852BAE3083B85282DE36ADD85A90BAD1,100000
36,tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,b2d6aaf0bca136c252ec94f0f06c2489f734675f,True,True,F4031EC7BA3641A7942447BA56D3F7C36C2456FCA1B9C273C6EEEDAACB9BCAD7,100000
37,tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,b2d6aaf0bca136c252ec94f0f06c2489f734675f,True,False,7DA43B194B605E1349011A7288DBA2EFE3D221C2337003E19025E726280B1820,100000
38,tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,b2d6aaf0bca136c252ec94f0f06c2489f734675f,True,False,C158284835937C62937C4D2FF47F2F94F4D292A9856F6AF61B39A3C581BEAB4B,100000
39,tellor1072q49v0sacgmlq4hkwzhryz5zefgl73jg5493,b2d6aaf0bca136c252ec94f0f06c2489f734675f,True,False,C2DED6C736ACB4FFD246D05FAE46A4576CBA0945B4EB76B26D272AC3813457D7,100000
